NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
ANCAROWS LANDING,0,0,0,0,0,2,3,3,18
BEAUFONT,0,0,1,12,2,3,17,4,45
BELLE AND MAYO ISLANDS,0,0,1,4,0,3,7,0,46
BELLEMEADE,0,5,16,112,48,24,73,18,328
BELLEVUE,0,1,1,8,12,1,37,10,74
BELMONT WOODS,0,0,0,3,3,0,2,0,15
BELT CENTER,0,0,5,36,13,15,174,12,248
BIOTECH AND MCV DISTRICT,0,0,1,20,2,3,14,1,117
BLACKWELL,1,4,9,55,7,26,66,17,265
BRAUERS,0,0,1,14,4,9,10,10,73
BRITISH CAMP FARMS,1,2,11,46,14,11,65,10,144
BROAD ROCK,0,3,15,56,16,15,43,15,196
BROAD ROCK INDUSTRIAL PARK,0,0,0,7,2,8,4,2,37
BROAD ROCK SPORTS COMPLEX,0,0,0,2,2,2,6,1,9
BROOKBURY,0,0,0,2,1,1,11,2,24
BROOKHAVEN FARMS,0,0,2,15,2,2,13,4,54
BROOKLAND PARK,1,2,7,51,24,42,37,6,183
BRYAN PARK,0,0,0,2,0,0,3,0,10
BYRD PARK,0,2,1,8,4,4,21,5,64
CAPITOL DISTRICT,1,0,1,31,0,10,26,5,184
CARILLON,0,0,1,6,3,0,12,2,35
CARVER,1,2,7,52,29,23,124,11,287
CARYTOWN,0,0,4,35,12,2,116,7,216
CEDARHURST,2,2,1,34,11,4,37,13,105
CENTRAL OFFICE,0,3,3,8,1,2,44,1,110
CHAMBERLAYNE INDUSTRIAL CENTER,0,2,5,44,24,26,72,16,238
CHERRY GARDENS,0,0,0,0,1,0,3,1,12
CHIMBORAZO,0,2,1,19,6,3,34,6,91
CHIPPENHAM FOREST,0,0,3,30,5,13,179,14,163
CHURCH HILL,0,2,4,31,11,4,73,11,122
CHURCH HILL NORTH,2,3,2,72,11,16,76,17,245
CITY CENTER,0,2,8,47,10,45,115,9,267
COFER,1,1,0,17,17,1,26,5,61
COLONIAL PLACE,0,0,1,1,7,0,24,6,45
COMMERCE ROAD INDUSTRIAL AREA,0,0,2,11,2,7,26,4,74
COTTRELL FARMS,0,1,0,13,5,2,22,1,59
COUNTRY CLUB OF VIRGINIA,0,0,0,0,0,0,2,0,4
CREIGHTON,2,2,0,82,13,42,24,11,271
CULLENWOOD,0,0,0,10,5,2,8,0,21
DAVEE GARDENS,0,0,0,12,5,4,8,3,31
DEERBOURNE,0,0,1,12,13,2,13,5,51
EASTVIEW,1,0,3,18,3,12,13,6,47
EDGEWOOD,0,1,1,18,6,12,11,7,80
ELKHARDT,2,4,7,25,1,2,21,14,119
FAIRFIELD,0,2,2,62,10,42,30,11,200
FAIRMOUNT,0,3,6,51,13,25,70,18,225
FAWNBROOK,0,1,0,1,7,0,6,2,21
FOREST HILL,0,0,0,5,5,3,28,4,50
FOREST HILL PARK,0,1,0,1,0,0,2,0,3
FOREST HILL TERRACE,0,0,5,5,3,1,20,3,71
FOREST VIEW,0,2,3,13,3,3,16,4,56
FULTON,4,3,14,96,46,15,105,32,318
GAMBLES HILL,0,0,0,4,0,0,37,3,34
GILPIN,5,6,15,162,35,134,66,16,592
GINTER PARK,3,2,11,133,45,56,81,17,452
GINTER PARK TERRACE,0,0,0,2,1,9,7,1,26
